"class","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13"
"i",0.0,1.0,63.03174,1.53906,63.03174,-0.03173,0.9995,63.13275,0.0,0.2651,0.03514,0.89453,266.0
"i",0.0,1.0,102.96116,1.37531,102.96116,-0.19425,0.98095,103.40927,0.0,1.15001,0.19571,0.91111,218.0
"j",0.0,1.0,110.06362,1.26629,86.53901,-0.38133,0.92444,144.13829,-3.14159,3.62705,1.64933,1.59766,375.0
"j",-0.14142,0.98995,109.73149,1.24616,89.15716,-0.39257,0.91972,140.75947,-1.5708,4.15478,1.62767,3.28,485.0
"j",-0.14142,0.98995,123.9395,1.31799,96.13532,-0.32246,0.94658,159.43748,-3.14159,4.54885,2.01193,1.57813,532.0
"j",0.70711,0.70711,89.28606,1.29865,65.19202,-0.3528,0.9357,119.19791,-1.5708,4.0579,2.23609,0.64,562.0
"j",0.0,1.0,70.88018,1.28474,47.42362,-0.42173,0.90672,103.13927,-3.14159,10.82929,8.35303,0.47266,531.0
"j",0.19612,0.98058,94.20191,1.41088,63.34824,-0.20521,0.97872,134.14732,-0.7854,3.6432,2.37087,1.0,469.0
"j",0.37139,0.92848,116.81181,1.20301,96.38465,-0.38388,0.92338,144.26156,-3.46334,6.0566,2.72765,1.32813,547.0
"j",0.0,1.0,120.07081,1.30966,84.8646,-0.36529,0.93089,159.38653,-1.5708,3.46754,1.47051,2.12891,438.0
"j",0.0,1.0,138.60014,1.28556,99.92497,-0.39029,0.92069,186.19181,-3.14159,4.82279,2.33911,2.81778,422.0
"j",0.0,1.0,428.54405,0.7986,169.66437,0.99608,0.08841,826.60437,-3.41989,7.22263,2.35295,12.13281,625.0
"j",-0.22904,0.97342,302.30117,0.8697,111.15755,0.98959,0.14394,599.26574,-2.96079,9.58718,2.78078,4.95111,1000.0
"j",0.0,1.0,75.66373,1.05985,67.95587,-0.54447,0.83878,96.79265,-3.14159,4.60139,2.44458,0.47266,375.0
"j",0.0,-1.0,179.35997,1.08969,55.36244,0.95733,0.289,343.17737,-3.46334,5.74944,2.54379,2.58203,703.0
"j",0.0,1.0,77.88453,1.29779,57.00877,-0.36836,0.92968,105.8225,-1.5708,3.14159,1.44001,0.66406,625.0
"j",-0.21693,0.97619,107.96759,1.29886,87.92042,-0.32984,0.94404,138.7192,-2.67795,6.21433,3.55763,1.57813,469.0
"j",0.0,1.0,67.6757,1.2397,49.1935,-0.44721,0.89443,97.15881,-1.5708,3.17668,1.68414,0.28889,563.0
"j",0.70711,0.70711,80.00625,1.253,69.28925,-0.34637,0.9381,106.57665,-1.5708,4.22243,3.14546,1.0,563.0
"j",0.0,1.0,94.92102,1.28237,66.70832,-0.40475,0.91443,130.66033,-3.14159,4.71022,3.1907,2.84889,454.0
"j",0.0,1.0,82.28001,1.2106,65.74192,-0.44112,0.89745,110.14462,-2.67795,5.81954,3.51334,0.44444,485.0
"j",0.0,1.0,101.53325,1.27085,79.84986,-0.37571,0.92674,133.08434,-3.14159,5.5772,3.86118,0.67578,625.0
"k",0.0,1.0,92.70383,1.16024,87.84646,0.38704,0.92206,223.87575,0.7854,6.83723,3.23498,3.10222,829.0
"k",0.0,1.0,91.09336,1.26988,89.4986,0.23464,0.97208,207.12233,-0.7854,8.29349,5.51356,1.11111,968.0
"k",0.0,1.0,96.00521,1.18642,96.00521,0.37498,0.92703,204.60121,0.6435,5.27768,3.02304,1.12891,750.0
"k",0.0,1.0,98.23441,1.31347,97.29337,0.21584,0.97643,193.88441,-0.46365,7.26935,3.29254,1.62222,891.0
"k",0.0,1.0,127.95312,1.13511,125.53884,0.38235,0.92402,339.67896,-2.35619,12.03607,6.98529,9.19556,875.0
